"GEO_ID","NAME","POP"
"0500000US16065","Madison County, Idaho","27467"
"0500000US16067","Minidoka County, Idaho","20174"
"0500000US16069","Nez Perce County, Idaho","37410"
"0500000US16071","Oneida County, Idaho","4125"
"0500000US16073","Owyhee County, Idaho","10644"
"0500000US16075","Payette County, Idaho","20578"
"0500000US16077","Power County, Idaho","7538"
"0500000US16079","Shoshone County, Idaho","13771"
"0500000US16081","Teton County, Idaho","5999"
"0500000US16083","Twin Falls County, Idaho","64284"
"0500000US16085","Valley County, Idaho","7651"
"0500000US16087","Washington County, Idaho","9977"
"0500000US17001","Adams County, Illinois","68277"
"0500000US17003","Alexander County, Illinois","9590"
"0500000US17005","Bond County, Illinois","17633"
"0500000US17007","Boone County, Illinois","41786"
"0500000US17009","Brown County, Illinois","6950"
"0500000US17011","Bureau County, Illinois","35503"
"0500000US17013","Calhoun County, Illinois","5084"
"0500000US17015","Carroll County, Illinois","16674"
"0500000US17017","Cass County, Illinois","13695"
"0500000US17019","Champaign County, Illinois","179669"
